state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
New York,88.6,24.4,14.5,4519999,319576,911445,1393560,16959,114011,8697,79096,7363343,161011,355269,410947,375711,518816,847368,964341,352053,338700,2019,1/1/2019,N.Y.,NY,NY_2019
North Carolina,85.2,17.7,7.9,988773,265965,2600265,106305,1198,57333,1951,6277,4028067,193492,342098,401374,434695,575987,480462,180998,33603,193200,2019,1/1/2019,N.C.,NC,NC_2019
North Dakota,85.1,12.3,6.9,129531,44922,133513,6600,682,1116,13,4501,320878,17030,22550,22210,34159,52633,37041,10446,2342,205400,2019,1/1/2019,N.D.,ND,ND_2019
Ohio,90.4,14.4,8.1,3075761,253741,1167397,96389,3007,75416,942,38014,4710667,243405,593771,626149,560671,609321,365040,106756,18620,157200,2019,1/1/2019,Ohio,OH,OH_2019
Oklahoma,85.5,15.4,7.2,762649,100215,591171,2397,115,22905,311,11345,1491108,108740,199836,192710,175250,167402,95448,31017,9495,147000,2019,1/1/2019,Okla.,OK,OK_2019
Oregon,91.2,21.4,11,608187,29180,865085,26802,339,98494,1877,12653,1642617,47174,27867,37134,63046,211755,408171,213754,28224,354600,2019,1/1/2019,Ore.,OR,OR_2019
Pennsylvania,89.3,17.4,10.2,2634591,235490,1222377,792365,53191,117969,4241,36216,5096440,230550,478302,520637,597582,785758,618757,228300,41938,192600,2019,1/1/2019,Pa.,PA,PA_2019
Rhode Island,86.6,20.9,12.2,225120,14493,41783,116413,42,5906,243,2180,406180,5163,3655,10275,29179,92624,77501,27783,4966,283000,2019,1/1/2019,R.I.,RI,RI_2019
South Carolina,84,18.1,8,464662,68110,1400895,12243,90,13860,3591,1813,1965264,135457,200591,209365,232151,281764,214722,92489,21953,179800,2019,1/1/2019,S.C.,SC,SC_2019
South Dakota,88.1,16.5,7.5,164029,57650,114940,5362,74,4959,82,4380,351476,26765,26759,31889,46658,56854,38587,10845,1574,185000,2019,1/1/2019,S.D.,SD,SD_2019
Tennessee,87.7,16.8,6.8,830737,98977,1660360,8693,1306,42520,245,3238,2646076,123863,248982,263730,284903,388016,305117,122950,28159,191900,2019,1/1/2019,Tenn.,TN,TN_2019
Texas,88.5,19.5,9.3,3499082,283573,6101773,6632,1333,28184,11312,9955,9941844,480456,823717,819668,958996,1405305,1142108,436207,112821,200400,2019,1/1/2019,Tex.,TX,TX_2019
