state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Missouri,85.4,16,8.4,1213154,202547,867102,4488,26,80774,648,9429,2378168,147638,289136,315159,285683,301098,187402,56265,14489,156700,2017,1/1/2017,Mo.,MO,MO_2017
Montana,82.9,20.6,9,229832,52646,98887,3934,175,30846,114,3871,420305,22036,23588,29978,44445,82087,62268,21623,6560,231300,2017,1/1/2017,Mont.,MT,MT_2017
Nebraska,90.1,14.9,9.1,445517,50971,239512,3012,195,7556,130,4409,751302,40985,84351,111423,95649,95802,54410,14210,3256,155800,2017,1/1/2017,Nebr.,NE,NE_2017
Nevada,87.6,22.9,8.1,639476,27839,393340,7045,368,14295,2552,5049,1089964,26580,28855,50280,84320,197702,166992,52593,11987,258200,2017,1/1/2017,Nev.,NV,NV_2017
New Hampshire,83.3,19.7,15.4,111070,90341,47927,227681,693,37912,575,8850,525049,15386,15104,27083,52247,120861,102722,30513,5121,263600,2017,1/1/2017,N.H.,NH,NH_2017
New Jersey,89,25.8,20.5,2425008,62490,415119,271265,990,11994,4801,12938,3204605,46058,57493,113361,197538,464860,689776,412217,72626,334900,2017,1/1/2017,N.J.,NJ,NJ_2017
New Mexico,81.8,22.8,9.6,494471,51066,158057,1105,397,49638,3019,7689,765442,54512,67107,90334,99888,107744,70564,23453,7848,171300,2017,1/1/2017,N.M.,NM,NM_2017
New York,87.7,25.9,15.6,4339349,294973,867925,1496843,17881,122088,5988,77386,7222433,171301,390467,420781,371938,540004,902166,824102,309274,314500,2017,1/1/2017,N.Y.,NY,NY_2017
North Carolina,85.6,18.2,8.3,961624,267466,2521984,114839,1543,62299,1849,6703,3938307,209860,390480,473129,435160,506772,386600,153580,31035,171200,2017,1/1/2017,N.C.,NC,NC_2017
North Dakota,84.4,11.3,7.7,127069,43794,128773,8374,508,1585,39,3510,313652,20291,23401,26731,32888,52093,34122,9859,1169,194700,2017,1/1/2017,N.D.,ND,ND_2017
Ohio,89.7,15,9,3055871,240591,1123993,96574,3832,85300,898,39092,4646151,261599,667903,680674,531406,528745,295908,87437,16509,144200,2017,1/1/2017,Ohio,OH,OH_2017
Oklahoma,84.8,17.9,7.6,760664,93322,579530,3973,161,21329,140,8149,1467268,119800,213076,194852,168722,148882,83062,27899,6190,137400,2017,1/1/2017,Okla.,OK,OK_2017
Oregon,90.7,24.2,13.4,621832,27026,806011,28959,230,99590,1684,11318,1596650,48843,33350,52868,93135,234853,346410,171958,25598,319200,2017,1/1/2017,Ore.,OR,OR_2017
Pennsylvania,88,17.7,11.1,2598275,222650,1158937,790353,52874,127198,2225,35586,4988098,240605,500459,559738,595054,734210,553313,200890,36748,181200,2017,1/1/2017,Pa.,PA,PA_2017
Rhode Island,87.3,23.9,15.4,216466,12165,43380,126191,190,5952,47,2845,407236,5073,5015,16446,43497,82086,68433,23133,5040,257800,2017,1/1/2017,R.I.,RI,RI_2017
South Carolina,83.4,19.3,8.8,415962,65032,1380808,15188,325,14996,1461,2556,1896328,150862,212827,229365,215130,238714,169972,73176,19624,161800,2017,1/1/2017,S.C.,SC,SC_2017
South Dakota,87.7,14.1,7.9,161222,51864,111476,7317,196,5105,83,4450,341713,26124,35810,36419,44840,50133,30005,8044,1717,167600,2017,1/1/2017,S.D.,SD,SD_2017
Tennessee,87.5,18,7.4,819872,97227,1608010,9740,637,41106,927,2180,2579699,135226,289732,300706,294341,332619,227888,92112,21166,167500,2017,1/1/2017,Tenn.,TN,TN_2017
Texas,88,19.1,9.6,3422516,281245,5824591,9195,642,28835,5484,12979,9585487,538375,971127,978817,957220,1166461,915187,343732,93264,172200,2017,1/1/2017,Tex.,TX,TX_2017
Utah,89.9,16.4,6.2,799822,19585,134315,889,960,11408,2271,4562,973812,22616,16842,44490,93739,212131,208869,70557,12319,275100,2017,1/1/2017,Utah,UT,UT_2017
Vermont,76.5,23.5,16.2,47036,43339,14035,107395,463,38840,612,3997,255717,8205,12217,21754,32075,49523,40337,12259,2035,226300,2017,1/1/2017,Vt.,VT,VT_2017
Virginia,88.8,18.8,7.5,1041717,137068,1708026,140235,2039,69309,892,8177,3107463,92104,135852,198673,274282,449509,509098,360057,57842,273400,2017,1/1/2017,Va.,VA,VA_2017
Washington,91.5,21,10.2,974414,83993,1599616,46277,586,107887,1241,14704,2828718,63791,57559,96450,149891,394719,552868,377715,90556,339000,2017,1/1/2017,Wash.,WA,WA_2017
West Virginia,80.2,16.8,7.1,288530,37545,316115,20958,3815,43857,179,2873,713872,86202,130525,95050,80701,73225,39946,10520,2713,119800,2017,1/1/2017,W.Va.,WV,WV_2017
Wisconsin,87.2,16.4,9.5,1534863,266776,383680,45798,601,82968,696,22657,2338039,71787,199947,313502,305522,372458,226846,64039,11498,178900,2017,1/1/2017,Wis.,WI,WI_2017
Wyoming,81.6,17.4,8.9,137155,21945,49131,548,910,12744,309,2081,224823,14950,9557,19387,28736,44171,28848,10234,3909,214300,2017,1/1/2017,Wyo.,WY,WY_2017
Alabama,83.1,19.4,8.2,528624,110784,1184158,2853,104,17764,84,776,1845147,174251,278950,243638,203651,201890,117813,38396,9549,136200,2016,1/1/2016,Ala.,AL,AL_2016
Alaska,80,19.5,8.7,121177,3726,30368,70918,915,16416,0,3627,247147,10496,8979,9888,16914,47773,50587,14353,1225,267800,2016,1/1/2016,Alaska,AK,AK_2016
Arizona,85.1,22,9.4,813741,68204,1551914,2113,210,46732,11575,5825,2500314,128237,155905,208381,278410,385489,299599,111822,25171,205900,2016,1/1/2016,Ariz.,AZ,AZ_2016
Arkansas,84.3,15.6,7.4,443158,75539,575287,1155,0,41774,56,3194,1140163,102055,188372,151684,116973,102667,55032,16848,4001,123300,2016,1/1/2016,Ark.,AR,AR_2016
California,92.1,30,12.2,8286377,411060,3461462,29687,1138,201493,66105,45885,12503207,204173,175434,215956,309367,844036,1929081,2320355,945026,477500,2016,1/1/2016,Calif.,CA,CA_2016
Colorado,90.2,20.3,8.9,1462841,98087,478032,1715,801,38336,5288,15365,2100465,47189,48228,73646,139658,333962,460344,223158,39647,314200,2016,1/1/2016,Colo.,CO,CO_2016
Connecticut,90.5,23.7,15.7,476852,55631,230532,554283,1538,23580,900,9232,1352548,16501,29062,80126,132925,237085,239198,104247,39929,274600,2016,1/1/2016,Conn.,CT,CT_2016
Delaware,82.4,20.2,8.2,150877,37262,114528,40914,300,3808,316,1751,349756,10564,11407,24009,41114,76064,64136,14958,2753,243400,2016,1/1/2016,Del.,DE,DE_2016
District of Columbia,89.7,20.2,11.7,149306,2508,120323,3787,80,37,75,1710,277826,1227,1501,1526,2831,11991,28130,44083,19087,576100,2016,1/1/2016,D.C.,DC,DC_2016
Florida,81.4,26.9,12.7,342799,67492,6995113,8892,617,11639,3315,3719,7433586,371618,635908,669706,782790,1076770,849377,354970,115986,197700,2016,1/1/2016,Fla.,FL,FL_2016
Georgia,87.4,19.8,9,1453586,169822,2007390,6691,417,31445,183,3407,3672941,208321,367993,397909,392984,414525,320420,138753,27701,166800,2016,1/1/2016,Ga.,GA,GA_2016
Hawaii,84.9,28.3,9.7,9951,5212,129907,253,187,668,16750,460,163388,3153,2891,4661,7166,23131,60815,123571,35238,592000,2016,1/1/2016,Hawaii,HI,HI_2016
Idaho,87.2,18.6,7.1,317194,29878,204797,8601,570,41276,248,5754,608318,24891,36649,75999,87314,100420,68411,20978,3555,189400,2016,1/1/2016,Idaho,ID,ID_2016
Illinois,90.5,21.6,12.7,3737533,198339,796090,6534,851,22615,893,25076,4787931,202912,473824,499072,509933,660146,528636,221004,51331,186500,2016,1/1/2016,Ill.,IL,IL_2016
Indiana,88.7,14,7.1,1521013,177100,740225,16749,2582,56087,979,10876,2525611,156189,415868,408606,301198,259892,138287,43483,7898,134800,2016,1/1/2016,Ind.,IN,IN_2016
Iowa,90.4,14.1,7.7,758616,161914,287406,5726,422,16908,619,9885,1241496,78668,194002,195867,150333,153227,83091,21291,4956,142300,2016,1/1/2016,Iowa,IA,IA_2016
Kansas,88.1,14.8,8.2,726993,82676,273250,1671,39,18748,314,3539,1107230,86475,154043,137710,126267,124184,71173,24959,4581,144900,2016,1/1/2016,Kans.,KS,KS_2016
Kentucky,87.4,16.8,8.7,639630,105573,898114,14744,3923,43963,448,7136,1713531,144798,245545,253142,191897,174882,98110,31522,8279,135600,2016,1/1/2016,Ky.,KY,KY_2016
Louisiana,84.5,20.6,7.7,574827,36189,1091269,920,61,8878,1275,1698,1715117,133875,183198,193882,208705,215855,117835,41612,10748,158000,2016,1/1/2016,La.,LA,LA_2016
Maine,72.8,21.2,11.9,41879,52621,33543,333900,985,55290,312,11584,530114,28365,48700,63342,67724,92851,57419,19327,4388,184700,2016,1/1/2016,Maine,ME,ME_2016
Maryland,89.7,21.5,11.2,964198,74399,907586,196298,2653,25816,3543,9849,2184342,38586,56837,93821,155175,358912,459898,239569,43155,306900,2016,1/1/2016,Md.,MD,MD_2016
Massachusetts,90.2,22,14.7,1332610,81858,405055,688925,2438,35051,2421,19478,2567836,21915,22715,64481,130633,330093,577958,367815,83320,366900,2016,1/1/2016,Mass.,MA,MA_2016
Michigan,85.2,17.6,11.2,2981789,318742,368144,43761,934,116271,821,36305,3866767,340755,537911,514824,462006,461919,299346,95497,19025,147100,2016,1/1/2016,Mich.,MI,MI_2016
Minnesota,89.2,16.1,8.7,1424382,217584,377952,38619,459,46247,424,27683,2133350,75580,129603,209995,293563,421521,292811,93570,15388,211800,2016,1/1/2016,Minn.,MN,MN_2016
Mississippi,83.5,20.8,9.8,343978,114510,610496,2470,125,14521,321,640,1087061,131766,194070,131955,104340,107475,45627,14288,4593,113900,2016,1/1/2016,Miss.,MS,MS_2016
Missouri,85.9,16.2,7.9,1220773,202010,841931,4349,828,85233,1575,7731,2364430,152792,295812,326003,281365,284247,159805,54728,12845,151400,2016,1/1/2016,Mo.,MO,MO_2016
Montana,83.6,22.5,9.9,218417,47891,104012,4364,649,33708,244,5354,414639,23731,26772,31621,44305,74904,56721,19707,5234,217200,2016,1/1/2016,Mont.,MT,MT_2016
Nebraska,90.4,13.7,8.4,439082,50453,238643,2507,159,9607,23,4319,744793,41868,89518,117349,90801,85205,48643,12041,2914,148100,2016,1/1/2016,Nebr.,NE,NE_2016
Nevada,86.4,23.5,8.6,623652,28287,369932,7190,487,13487,2228,4332,1049595,24529,37237,55878,97748,169753,139618,43505,10494,239500,2016,1/1/2016,Nev.,NV,NV_2016
New Hampshire,83.3,20.2,14.8,110428,81949,48677,229187,1236,35047,666,9880,517070,17519,17196,30179,57731,115909,95535,25062,5890,251100,2016,1/1/2016,N.H.,NH,NH_2016
New Jersey,88.6,28,21.3,2389530,59916,423650,271179,1652,13466,3212,14924,3177529,42613,61201,114482,204917,467452,674125,383554,71583,328200,2016,1/1/2016,N.J.,NJ,NJ_2016
New Mexico,82.6,23.4,7.8,497976,54610,138982,1236,628,51892,3260,7052,755636,54058,72645,88299,94776,106591,66590,22795,5345,167500,2016,1/1/2016,N.M.,NM,NM_2016
New York,87.6,26.5,16.2,4227422,273838,860856,1540787,19268,126890,6535,79479,7135075,175290,400273,428147,376812,528298,909774,752947,269629,302400,2016,1/1/2016,N.Y.,NY,NY_2016
North Carolina,85.5,19.5,8.7,943290,275766,2454377,118701,231,64774,1678,7170,3865987,202093,408881,478422,424072,475703,349602,129176,25439,165400,2016,1/1/2016,N.C.,NC,NC_2016
North Dakota,85.5,12.9,6.5,126758,40651,130063,8528,397,1900,9,3808,312114,19707,26626,28089,35447,50184,30327,7140,1688,184100,2016,1/1/2016,N.D.,ND,ND_2016
Ohio,89.5,16.3,9.3,3035341,240410,1100194,100460,4510,85870,887,36312,4603984,268235,698386,668292,531398,497956,262437,78415,17690,140100,2016,1/1/2016,Ohio,OH,OH_2016
Oklahoma,85.4,16.9,7.5,767875,95067,568080,2554,86,23848,446,8595,1466551,123063,223802,193858,161292,144408,74504,26516,6109,132200,2016,1/1/2016,Okla.,OK,OK_2016
Oregon,90.7,22.3,10.7,591804,27363,800942,31671,135,102144,1392,10067,1565518,54993,36709,64852,110085,250676,299130,133741,19393,287100,2016,1/1/2016,Ore.,OR,OR_2016
Pennsylvania,88,19.2,11.4,2551248,209719,1133797,805822,57606,125583,1639,34565,4919979,249406,540693,569563,586688,706902,511721,183620,33921,174100,2016,1/1/2016,Pa.,PA,PA_2016
Rhode Island,88.2,24.1,15.9,221544,10488,43722,122343,399,6219,290,2140,407145,6156,5505,20091,46931,73492,59935,21149,3623,247700,2016,1/1/2016,R.I.,RI,RI_2016
South Carolina,84,19.9,9,413862,70890,1351704,14375,97,15939,820,1797,1869484,155021,235022,234465,214378,215382,150240,65926,18437,153900,2016,1/1/2016,S.C.,SC,SC_2016
South Dakota,87,15.4,7.9,155319,50018,109209,6854,102,5699,73,4654,331928,26655,34387,39447,44762,43426,26107,7674,2001,160700,2016,1/1/2016,S.D.,SD,SD_2016
Tennessee,87.6,18.8,7.4,818768,99337,1570459,9798,727,47265,126,2437,2548917,139386,307860,328382,300298,294521,197618,80080,15873,157700,2016,1/1/2016,Tenn.,TN,TN_2016
Texas,88.7,19.7,9.4,3407001,273637,5754927,8943,1272,32735,4028,14285,9496828,562918,1091747,1007075,925833,1049106,792131,310027,86634,161500,2016,1/1/2016,Tex.,TX,TX_2016
Utah,89.5,16.5,5.6,780281,17949,124537,1165,797,11655,1016,3861,941261,20604,18012,64896,106878,207572,176115,55695,9494,250300,2016,1/1/2016,Utah,UT,UT_2016
Vermont,77.3,24.1,17.8,46388,42621,14097,106498,695,39455,571,3822,254147,7452,11145,23157,33470,52343,37360,11031,1814,223700,2016,1/1/2016,Vt.,VT,VT_2016
Virginia,89.4,19.5,8.4,1032532,141229,1699116,146013,2680,74887,628,9883,3106968,90559,143559,215244,271229,446880,479012,333591,57567,264000,2016,1/1/2016,Va.,VA,VA_2016
Washington,91.5,21.3,9.8,948151,83921,1540628,49076,378,117058,1244,14449,2754905,68740,60144,121751,182559,411281,507040,314899,62906,306400,2016,1/1/2016,Wash.,WA,WA_2016
West Virginia,81.4,15.3,7,297134,33741,318972,19781,4120,42897,202,3804,720651,88357,134557,95121,87680,70844,34795,8948,2776,117900,2016,1/1/2016,W.Va.,WV,WV_2016
Wisconsin,87.2,17,11,1516856,257731,379170,47379,762,87464,667,23294,2313323,77033,209484,321224,311710,355135,206909,58256,11481,173200,2016,1/1/2016,Wis.,WI,WI_2016
Wyoming,82.6,17.4,9,137875,20581,49466,940,478,11184,100,2037,222661,14466,8893,17706,31171,41155,28705,7618,4180,209500,2016,1/1/2016,Wyo.,WY,WY_2016
Alabama,83.2,18.9,8.2,508335,114106,1191229,3176,0,20342,82,2188,1839458,174211,285708,236285,198870,194280,115817,39247,9177,134100,2015,1/1/2015,Ala.,AL,AL_2015
Alaska,80.8,19.7,8.2,122946,3713,32857,71730,1170,13928,14,1951,248309,11168,8365,11676,18518,50432,47136,11629,998,259600,2015,1/1/2015,Alaska,AK,AK_2015
Arizona,84.1,22.9,8.6,803620,65811,1490766,2114,595,50238,8420,3173,2424737,123315,171786,225546,268167,339358,267952,104428,24276,194300,2015,1/1/2015,Ariz.,AZ,AZ_2015
Arkansas,84.9,18.8,7.8,449516,76481,565461,469,105,45025,254,3821,1141132,111369,189055,158302,116915,95739,50425,18337,5858,120700,2015,1/1/2015,Ark.,AR,AR_2015
California,92.2,30.6,12,8252070,399275,3427206,30962,1567,218185,43884,42740,12415889,213280,194780,248786,374918,920349,1976684,2168275,813751,449100,2015,1/1/2015,Calif.,CA,CA_2015
Colorado,89.8,20.2,8.5,1438590,97415,470730,2431,1133,40734,4169,12645,2067847,52776,54671,93529,162184,351987,396380,175465,35626,283800,2015,1/1/2015,Colo.,CO,CO_2015
Connecticut,89.8,25.1,18.5,471195,51915,214414,561996,1493,29530,937,8159,1339639,17434,29819,84432,136125,244550,230211,106555,39909,270900,2015,1/1/2015,Conn.,CT,CT_2015
Delaware,83.6,23.6,11.3,145437,36295,114947,47187,390,4581,358,1615,350810,12668,13339,24675,41907,75185,63991,14762,3154,240200,2015,1/1/2015,Del.,DE,DE_2015
District of Columbia,91,20.6,10.2,154113,3343,113514,5066,0,0,367,1342,277745,1742,868,1886,3155,15250,27917,43609,18128,551300,2015,1/1/2015,D.C.,DC,DC_2015
Florida,81,27.5,12.4,325205,71936,6900036,10710,930,12848,3522,2784,7327971,393189,737212,735475,758588,962144,751764,316602,105097,179800,2015,1/1/2015,Fla.,FL,FL_2015
Georgia,87.4,21.6,9.4,1454703,170705,1976609,5839,127,31762,22,2666,3642433,196853,408423,439272,384792,386666,298617,124160,22383,159300,2015,1/1/2015,Ga.,GA,GA_2015
Hawaii,83.8,30.9,9.9,8107,4349,126207,119,0,850,13633,137,153402,2703,2688,5899,7669,23022,63598,117346,29510,566900,2015,1/1/2015,Hawaii,HI,HI_2015
Idaho,86.3,21.8,7.6,307083,27508,201596,8511,267,45444,68,5043,595520,26076,40481,81007,95637,90171,59125,16114,3347,176300,2015,1/1/2015,Idaho,ID,ID_2015
Illinois,90.2,22,12.4,3764432,191916,749605,7685,884,22839,844,25289,4763494,204632,494324,516733,512550,638663,499607,209003,54129,180300,2015,1/1/2015,Ill.,IL,IL_2015
Indiana,88.5,15.4,7.8,1517830,177999,726852,18388,2988,51692,536,10950,2507235,156764,431559,414784,292968,241284,126976,40715,9830,131000,2015,1/1/2015,Ind.,IN,IN_2015
Iowa,91.1,14,8.4,758106,162877,283022,7202,261,18554,416,9391,1239829,88351,204577,198981,154047,143822,66710,20147,4845,136100,2015,1/1/2015,Iowa,IA,IA_2015
Kansas,88.7,15.4,9.4,731194,86149,265326,1451,139,19819,328,4865,1109271,87944,162907,142808,127336,125634,67102,20189,4416,141200,2015,1/1/2015,Kans.,KS,KS_2015
Kentucky,87.7,18.2,8.8,643384,104751,889890,15589,4263,46453,291,6332,1710953,152395,261279,251697,187712,164109,85167,29155,6739,130000,2015,1/1/2015,Ky.,KY,KY_2015
Louisiana,85.8,19.8,8.5,599691,37623,1081439,439,79,11443,754,1225,1732693,144043,193690,194749,213078,215965,113967,37956,8846,155600,2015,1/1/2015,La.,LA,LA_2015
Maine,74.8,21.8,12.3,37624,50511,35138,336337,1449,70767,604,11270,543700,24994,55819,63373,75051,91282,55175,18402,3005,180300,2015,1/1/2015,Maine,ME,ME_2015
Maryland,89.5,21.8,10.9,968764,72692,883862,197050,1719,29110,1791,12005,2166993,34790,59478,100980,161957,361564,447415,228278,41697,299800,2015,1/1/2015,Md.,MD,MD_2015
Massachusetts,90,24.8,16.2,1306073,79528,403279,690548,3301,38927,1693,20120,2543469,24254,27904,63583,134511,358554,571314,325797,74036,352100,2015,1/1/2015,Mass.,MA,MA_2015
Michigan,84.8,18.8,12,2958300,314724,356677,45398,1064,129857,604,32932,3839556,358863,588830,535054,445306,439764,252093,79488,17819,137500,2015,1/1/2015,Mich.,MI,MI_2015
Minnesota,89.6,16.6,9.2,1420349,225549,366326,41930,493,51735,443,23873,2130698,75021,144033,238224,304453,393944,268489,82366,16743,200000,2015,1/1/2015,Minn.,MN,MN_2015
Mississippi,84.9,23.5,9.7,338181,130201,614013,2122,51,14941,295,1086,1100890,131036,199762,137794,115828,100507,44278,12055,2943,112700,2015,1/1/2015,Miss.,MS,MS_2015
Missouri,86.4,17.1,8.6,1212347,211223,840114,5223,224,88827,518,8070,2366546,149637,320511,328960,283301,273422,151351,51301,11654,147800,2015,1/1/2015,Mo.,MO,MO_2015
Montana,83.9,22.4,8.7,224376,49552,98131,4243,541,32691,310,3351,413195,25771,24119,31729,48460,75411,47754,18375,4871,209500,2015,1/1/2015,Mont.,MT,MT_2015
Nebraska,90.6,14.8,8.5,440046,58229,224922,2828,49,9628,161,5190,741053,43945,97890,124079,87931,81605,41019,10591,3334,141600,2015,1/1/2015,Nebr.,NE,NE_2015
Nevada,86.1,22.4,9.1,622936,25153,361369,6529,45,14312,1347,6051,1037742,27616,44434,65322,105972,154060,120826,34425,10305,221400,2015,1/1/2015,Nev.,NV,NV_2015
New Hampshire,83.1,21.5,16.1,103292,78670,46002,232674,674,42472,488,10268,514540,14655,18217,33955,61114,119859,91021,24525,3393,244500,2015,1/1/2015,N.H.,NH,NH_2015
New Jersey,88.7,30,21.9,2398744,61082,385792,299222,821,14398,1781,12721,3174561,39805,67578,124668,204812,473570,664828,363853,69920,322600,2015,1/1/2015,N.J.,NJ,NJ_2015
New Mexico,83.3,24,9.4,507367,60267,134640,692,315,46945,2575,7417,760218,60824,75254,89902,96633,97428,64635,23271,5896,164100,2015,1/1/2015,N.M.,NM,NM_2015
New York,88.1,28.4,16.2,4202413,265224,808370,1649860,18107,141016,3120,78999,7167109,175547,418718,438296,387000,532047,922013,730162,235119,293500,2015,1/1/2015,N.Y.,NY,NY_2015
North Carolina,85.6,20.7,9.9,934170,271792,2407444,134297,806,74765,1165,5754,3830193,211238,421200,492541,420727,448558,314036,119042,27799,160100,2015,1/1/2015,N.C.,NC,NC_2015
North Dakota,86.4,11,7,130987,41709,123653,8473,666,1440,7,2947,309882,19873,26407,27658,34501,46511,31058,6045,1289,180900,2015,1/1/2015,N.D.,ND,ND_2015
Ohio,89.3,17.5,9.2,3040522,244024,1071606,100929,3141,88143,1190,39014,4588569,274378,726870,676164,524412,472806,250749,72890,14824,136400,2015,1/1/2015,Ohio,OH,OH_2015
Oklahoma,85.7,18.3,8,770876,95737,555238,2382,57,26956,171,10991,1462408,126025,239221,199758,156349,138019,69264,22213,7009,126800,2015,1/1/2015,Okla.,OK,OK_2015
Oregon,90.4,23.4,11.1,595662,26882,774393,31373,241,106585,1218,10109,1546463,58181,37576,77194,128138,263143,263939,104257,16463,264100,2015,1/1/2015,Ore.,OR,OR_2015
Pennsylvania,88.5,20.3,12.4,2549385,200754,1103995,837082,64226,141835,2117,38034,4937428,260494,564654,591813,595073,695312,494481,169465,34464,170600,2015,1/1/2015,Pa.,PA,PA_2015
Rhode Island,88.1,24.4,16.3,216129,11955,43085,124029,504,7228,0,3101,406031,5067,5958,25421,49384,72709,57330,20176,4573,241000,2015,1/1/2015,R.I.,RI,RI_2015
South Carolina,84.1,21.2,9.1,410455,75921,1322225,20409,85,18149,278,2524,1850046,146220,244642,248934,207872,203627,137715,63205,13412,148600,2015,1/1/2015,S.C.,SC,SC_2015
South Dakota,89.3,15.4,9.2,162018,53053,101989,6671,143,6677,190,6311,337052,30921,36156,45720,43785,41373,24930,6699,1868,152800,2015,1/1/2015,S.D.,SD,SD_2015
Tennessee,87.5,19.6,7.9,825190,99323,1533971,9813,258,49845,236,3564,2522200,144281,335962,348302,294940,275429,181657,68117,16810,150600,2015,1/1/2015,Tenn.,TN,TN_2015
Texas,89,20.2,9.7,3390924,293458,5637227,9351,620,35322,2021,12897,9381820,585282,1139088,1107216,922741,963988,679525,277671,77315,152000,2015,1/1/2015,Tex.,TX,TX_2015
Utah,89.7,17,6.1,780746,19320,111094,1297,1600,11431,517,2914,928919,22256,20044,80005,121971,196790,146602,45792,7755,234600,2015,1/1/2015,Utah,UT,UT_2015
Vermont,78,26.2,18,45256,40280,12610,108532,735,42271,263,4298,254245,7411,13448,22279,33477,52652,36548,11852,2545,223700,2015,1/1/2015,Vt.,VT,VT_2015
Virginia,89.6,20.7,9,1029797,134535,1687103,153039,2133,79382,635,8414,3095038,87035,153903,219345,281099,437580,475765,311488,53654,257800,2015,1/1/2015,Va.,VA,VA_2015
Washington,91.2,21.9,9.7,947344,83835,1502485,54294,510,109150,985,16980,2715583,72999,64458,131896,215507,432040,465945,271408,49016,284000,2015,1/1/2015,Wash.,WA,WA_2015
West Virginia,82.9,16,7.1,305996,34766,319204,19805,4173,44782,152,4358,733236,98239,139575,96804,84256,70314,31221,9416,1326,112100,2015,1/1/2015,W.Va.,WV,WV_2015
Wisconsin,87.3,17.9,10.9,1515108,259440,361243,54122,593,94188,937,22247,2307878,76978,225651,336123,316489,344870,185601,52014,11417,168300,2015,1/1/2015,Wis.,WI,WI_2015
Wyoming,85,16.7,8.5,135634,22692,53623,449,961,12772,26,2019,228176,14506,9871,17227,29061,48117,26177,7489,3127,212500,2015,1/1/2015,Wyo.,WY,WY_2015
Alabama,83.4,21.6,10.3,523139,113869,1173097,3610,718,17600,195,1530,1833758,207066,286138,236699,188178,191205,98346,31562,6886,125600,2014,1/1/2014,Ala.,AL,AL_2014
Alaska,80.9,19.5,10.5,119714,2843,30963,73871,1025,17276,0,2043,247735,12377,7511,10305,23097,47910,43764,10174,868,254500,2014,1/1/2014,Alaska,AK,AK_2014
Arizona,83.5,22.5,9,812510,65065,1446705,1214,510,50054,7215,4826,2388099,159089,188843,234253,252877,301010,233628,93547,21610,176700,2014,1/1/2014,Ariz.,AZ,AZ_2014
Arkansas,84.4,18.8,8.9,454488,81113,540491,1217,28,46313,400,4524,1128574,139117,194760,146288,114169,89236,43783,13209,3756,112500,2014,1/1/2014,Ark.,AR,AR_2014
California,91.8,31.5,12.1,8249834,406961,3323498,30061,1597,221127,29734,45421,12308233,358905,227050,293875,417903,958127,1934465,1988688,676675,412700,2014,1/1/2014,Calif.,CA,CA_2014
Colorado,89.6,21.3,8.6,1445808,95838,428152,1683,990,43546,4082,12074,2032173,78551,61298,110099,193001,351595,330911,149270,27808,255200,2014,1/1/2014,Colo.,CO,CO_2014
Connecticut,90.8,26,18.9,464748,49540,212031,576948,2087,34478,554,11670,1352056,34773,27354,83496,140759,239756,229558,101322,43021,267200,2014,1/1/2014,Conn.,CT,CT_2014
Delaware,83.8,23.1,10.3,140922,35973,117578,47201,278,3572,108,1864,347496,17649,13156,25269,41737,72969,58006,14305,2717,230500,2014,1/1/2014,Del.,DE,DE_2014
District of Columbia,90.6,19.5,14.6,153799,2802,110659,5032,0,41,203,1250,273786,3330,1686,2565,3966,14262,32393,39590,14700,486900,2014,1/1/2014,D.C.,DC,DC_2014
Florida,80.1,29.4,12.8,324973,72578,6769006,12061,452,13747,2030,3576,7198423,525082,844958,743401,744211,859554,637096,248820,90699,162700,2014,1/1/2014,Fla.,FL,FL_2014
Georgia,86.4,22.6,10.5,1443221,176341,1908078,5777,690,35844,332,2971,3573254,261291,446970,424363,353727,359805,262430,102050,21917,147900,2014,1/1/2014,Ga.,GA,GA_2014
Hawaii,85,31.7,9.3,8653,4314,128113,197,42,1514,12023,356,155212,4724,5024,6423,7484,27329,68383,111143,24865,528000,2014,1/1/2014,Hawaii,HI,HI_2014
Idaho,86.4,20.5,8.1,303196,27837,194895,10243,476,48610,167,4811,590235,33506,48238,91295,82352,81843,46029,15758,3373,165300,2014,1/1/2014,Idaho,ID,ID_2014
Illinois,89.9,24,12.7,3765279,198181,725859,7180,631,22827,812,20233,4741002,257936,513472,527661,507461,616008,460334,194230,48553,171900,2014,1/1/2014,Ill.,IL,IL_2014
Indiana,88.4,16.8,8.5,1515413,181828,710158,18946,2973,54170,550,10863,2494901,192591,443360,416295,280245,226639,116334,33985,6892,124300,2014,1/1/2014,Ind.,IN,IN_2014
Iowa,91.1,14.9,8.9,769215,163627,264344,7828,249,19581,280,10258,1235382,100678,203335,197013,148817,144483,64556,16289,4707,133100,2014,1/1/2014,Iowa,IA,IA_2014
Kansas,88.8,16.7,9.9,739570,88639,248571,1352,337,22149,252,5919,1106789,107112,169213,141726,120564,115654,63875,17384,3640,132100,2014,1/1/2014,Kans.,KS,KS_2014
Kentucky,87.8,19.2,8.7,638201,106636,883857,15956,3065,52310,138,6399,1706562,177551,262089,243047,179268,159631,79550,24836,5225,123800,2014,1/1/2014,Ky.,KY,KY_2014
